id,name,sex,age,height,weight,year,season,sport,event,medal,country,medal_count
702,Ronny Ackermann,M,24,184,69,2002,Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver,Germany,1
702,Ronny Ackermann,M,28,184,69,2006,Winter,Nordic Combined,Nordic Combined Men's Team,Silver,Germany,1
716,Lautaro Germn Acosta,M,20,168,72,2008,Summer,Football,Football Men's Football,Gold,Argentina,1
723,Osmay Acosta Duarte,M,23,188,91,2008,Summer,Boxing,Boxing Men's Heavyweight,Bronze,Cuba,1
772,"Michael B. ""Mike"" Adam",M,24,175,95,2006,Winter,Curling,Curling Men's Curling,Gold,Canada,1
832,Nicola Virginia Adams,F,29,164,51,2012,Summer,Boxing,Boxing Women's Flyweight,Gold,UK,1
832,Nicola Virginia Adams,F,33,164,51,2016,Summer,Boxing,Boxing Women's Flyweight,Gold,UK,1
837,Rachael Alexis Adams,F,26,188,81,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,USA,1
840,"Victoria ""Vicki"" Adams",F,24,164,69,2014,Winter,Curling,Curling Women's Curling,Bronze,UK,1
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,2008,Summer,Athletics,Athletics Women's Shot Put,Gold,New Zealand,1
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,2012,Summer,Athletics,Athletics Women's Shot Put,Gold,New Zealand,1
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,2016,Summer,Athletics,Athletics Women's Shot Put,Silver,New Zealand,1
849,Filip Kamil Adamski,M,29,189,87,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold,Germany,1
896,Olubayo Adefemi,M,22,181,82,2008,Summer,Football,Football Men's Football,Silver,Nigeria,1
908,"Ayodele ""Dele"" Adeleye",M,19,190,80,2008,Summer,Football,Football Men's Football,Silver,Nigeria,1
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,2012,Summer,Volleyball,Volleyball Women's Volleyball,Gold,Brazil,1
956,"Richard ""Richy""  Adjei",M,27,190,110,2010,Winter,Bobsleigh,Bobsleigh Men's Two,Silver,Germany,1
980,"Rebecca ""Becky"" Adlington",F,19,179,70,2008,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold,UK,1
980,"Rebecca ""Becky"" Adlington",F,19,179,70,2008,Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold,UK,1
980,"Rebecca ""Becky"" Adlington",F,23,179,70,2012,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze,UK,1
980,"Rebecca ""Becky"" Adlington",F,23,179,70,2012,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze,UK,1
1000,Dainius Adomaitis,M,26,202,100,2000,Summer,Basketball,Basketball Men's Basketball,Bronze,Lithuania,1
1017,Nathan Ghar-Jun Adrian,M,19,198,100,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,USA,1
1017,Nathan Ghar-Jun Adrian,M,23,198,100,2012,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA,1
1017,Nathan Ghar-Jun Adrian,M,23,198,100,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,USA,1
1017,Nathan Ghar-Jun Adrian,M,23,198,100,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,USA,1
1017,Nathan Ghar-Jun Adrian,M,27,198,100,2016,Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze,USA,1
1017,Nathan Ghar-Jun Adrian,M,27,198,100,2016,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze,USA,1
1017,Nathan Ghar-Jun Adrian,M,27,198,100,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,USA,1
1017,Nathan Ghar-Jun Adrian,M,27,198,100,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,USA,1
1020,Adriana Aparecida dos Santos,F,29,180,61,2000,Summer,Basketball,Basketball Women's Basketball,Bronze,Brazil,1
